Model,Train_MAE_days,Train_RMSE_days,Train_R2,Train_Median_AE_days,Train_MAPE_nonzero_pct,Test_MAE_days,Test_RMSE_days,Test_R2,Test_Median_AE_days,Test_MAPE_nonzero_pct,Fit_seconds
Linear Regression,9.6426222262501,12.20266736409142,0.8594622811204449,8.04002996623585,14.680120078704405,9.778412955545837,12.342220763217849,0.8595368900326879,8.313989963170936,15.508741488928734,0.14356779999798164
Random Forest,5.0703762611695975,6.61527411072709,0.9586972429269608,4.056620370370354,7.690072853725516,10.888713610799742,13.936161285782076,0.8209138554160644,8.929358084045592,17.059441499038876,31.39715289999731
Median Baseline,25.169792448112027,32.59731297008826,-0.002875354467964497,21.0,42.75338586800389,25.294666666666668,32.96716548325015,-0.0021641790560331664,20.0,45.06112482466723,0.09257379999326076
