feature,importance
days_in_current_stage,0.37281140973536187
acquisition_stage_Possession,0.15110470622563243
land_area_acres,0.13163096530245252
pending_approvals,0.06813661057375374
number_of_landowners,0.05703954606026444
number_of_objections,0.054333359356460456
compensation_completed_pct,0.03126752767408699
number_of_court_cases,0.01979897187291992
project_length_km,0.012712779435967981
sanction_amount_lakh,0.012510780079669446
last_review_days_ago,0.012056757267183887
structures_affected,0.010300661801634406
project_type_Road Widening,0.0046268261160497615
acquisition_stage_Compensation,0.0035121034134900637
acquisition_stage_Objection,0.0034012272030669896
state_Rajasthan,0.002450034943238898
state_Punjab,0.0024396788856690956
project_type_Railway,0.001771444003514453
acquisition_stage_Notification,0.0017408963196984747
project_type_Highway,0.001694232994249312
dispute_severity_None,0.001644299827099547
payment_status_Partial,0.001618704780577703
forest_clearance_Completed,0.0016159685883529698
payment_status_Complete,0.0015935507414776312
environmental_clearance_Completed,0.0015471082195258775
state_Haryana,0.001524459797870774
document_verification_status_Complete,0.0015125187227918667
land_acquisition_agency_District Administration,0.0014319174748606345
land_acquisition_agency_NHAI,0.001426911533198397
forest_clearance_Not Required,0.0014011540009999548
land_acquisition_agency_State PWD,0.0013381108466608692
state_Madhya Pradesh,0.0012299605322852263
land_acquisition_agency_Special LA Unit,0.0012231748400973101
environmental_clearance_Pending,0.0012229389998196906
forest_clearance_Pending,0.0012055929881947924
document_verification_status_Partial,0.0011909814454558406
payment_status_Pending,0.0011704563293968631
environmental_clearance_Not Required,0.0011398021911358828
acquisition_stage_Award,0.0011161938850903646
document_verification_status_Pending,0.0010888528246283586
dispute_severity_Low,0.0010862535940399799
state_Uttar Pradesh,0.0010761233869128273
state_Himachal Pradesh,0.0010753338394323179
dispute_severity_Medium,0.0010239004475990144
state_Uttarakhand,0.0009252658564379467
project_type_Bypass,0.0007698141876729921
dispute_severity_High,0.0007670000382262565
project_type_Bridge,0.0007542208209234805
relocation_required_No,0.0007211942340340052
relocation_required_Yes,0.00068758003934117
district_Dehradun,0.00042714961964904484
district_Udham Singh Nagar,0.0003622319328214823
district_Haridwar,0.0003015943888510977
district_Udaipur,0.00029565483200409963
district_Jalandhar,0.0002891736838459196
district_Ujjain,0.0002718019158415555
district_Kangra,0.0002590468448573332
district_Bathinda,0.00025632885507077146
district_Indore,0.0002525290902438709
district_Solan,0.00024642622990964753
district_Gwalior,0.00024424765392571757
district_Ajmer,0.00024252110472721048
district_Bhopal,0.00023731814588638683
district_Jabalpur,0.00023244696848820703
district_Mandi,0.00023114550427965
district_Firozpur,0.000229473274615769
district_Kota,0.00022633891736171692
district_Sirmaur,0.00020531035059365878
district_Ambala,0.00020476482397388147
district_Jaipur,0.0002044428312107095
district_Lucknow,0.000201796185963991
district_Sirsa,0.0002016544032083105
district_Karnal,0.00020057152138057318
district_Kanpur Nagar,0.00020035070747301175
district_Nainital,0.00020030278104172803
district_Alwar,0.0001983134103709647
district_Ludhiana,0.00019439286187282934
district_Amritsar,0.00019094599963930147
district_Jodhpur,0.00018484717201013015
district_Rohtak,0.00017927675073371496
district_Hisar,0.00017488186182766774
district_Agra,0.0001678772039005993
district_Panipat,0.0001494435784323741
district_Patiala,0.00014880368199968774
district_Moga,0.00014127028819153062
district_Shimla,0.00012633605327557802
district_Meerut,0.00012491478336022267
district_Hoshiarpur,0.00012276958451659848
district_Prayagraj,0.00012224758480837707
district_Varanasi,7.919233932927415e-05
acquisition_stage_Unknown,0.0
